============================================================
Sistema POS — Actualizador de OTA
Sesión ID  : 1777998550071
Fecha/Hora : 2026-05-05 13:29:10.072903
Componente : backend
Versión    : 1.3.2
ZIP        : C:\Users\gines\AppData\Local\Temp\update_backend_v1.3.2.zip
Destino    : C:\laragon\www\Sistema_POS\pos-backend
============================================================
[INFO ] [13:29:10.074] Updater iniciado correctamente.
[INFO ] [13:29:20.307]   → 2280 archivos extraídos...
[INFO ] [13:29:20.324]   → 2290 archivos extraídos...
[INFO ] [13:29:20.341]   → 2300 archivos extraídos...
[INFO ] [13:29:20.361]   → 2310 archivos extraídos...
[INFO ] [13:29:20.377]   → 2320 archivos extraídos...
[INFO ] [13:29:20.402]   → 2330 archivos extraídos...
[INFO ] [13:29:20.417]   → 2340 archivos extraídos...
[INFO ] [13:29:20.432]   → 2350 archivos extraídos...
[INFO ] [13:29:20.449]   → 2360 archivos extraídos...
[INFO ] [13:29:20.463]   → 2370 archivos extraídos...
[INFO ] [13:29:20.483]   → 2380 archivos extraídos...
[INFO ] [13:29:20.502]   → 2390 archivos extraídos...
[INFO ] [13:29:20.514]   → 2400 archivos extraídos...
[INFO ] [13:29:20.532]   → 2410 archivos extraídos...
[INFO ] [13:29:20.548]   → 2420 archivos extraídos...
[INFO ] [13:29:20.564]   → 2430 archivos extraídos...
[INFO ] [13:29:20.579]   → 2440 archivos extraídos...
[INFO ] [13:29:20.597]   → 2450 archivos extraídos...
[INFO ] [13:29:20.619]   → 2460 archivos extraídos...
[INFO ] [13:29:20.647]   → 2470 archivos extraídos...
[INFO ] [13:29:20.669]   → 2480 archivos extraídos...
[INFO ] [13:29:20.687]   → 2490 archivos extraídos...
[INFO ] [13:29:20.706]   → 2500 archivos extraídos...
[INFO ] [13:29:20.721]   → 2510 archivos extraídos...
[INFO ] [13:29:20.745]   → 2520 archivos extraídos...
[INFO ] [13:29:20.766]   → 2530 archivos extraídos...
[INFO ] [13:29:20.798]   → 2540 archivos extraídos...
[INFO ] [13:29:20.825]   → 2550 archivos extraídos...
[INFO ] [13:29:20.841]   → 2560 archivos extraídos...
[INFO ] [13:29:20.881]   → 2570 archivos extraídos...
[INFO ] [13:29:20.908]   → 2580 archivos extraídos...
[INFO ] [13:29:20.928]   → 2590 archivos extraídos...
[INFO ] [13:29:20.997]   → 2600 archivos extraídos...
[INFO ] [13:29:21.055]   → 2610 archivos extraídos...
[INFO ] [13:29:21.102]   → 2620 archivos extraídos...
[INFO ] [13:29:21.127]   → 2630 archivos extraídos...
[INFO ] [13:29:21.155]   → 2640 archivos extraídos...
[INFO ] [13:29:21.178]   → 2650 archivos extraídos...
[INFO ] [13:29:21.206]   → 2660 archivos extraídos...
[INFO ] [13:29:21.221]   → 2670 archivos extraídos...
[INFO ] [13:29:21.240]   → 2680 archivos extraídos...
[INFO ] [13:29:21.257]   → 2690 archivos extraídos...
[INFO ] [13:29:21.274]   → 2700 archivos extraídos...
[INFO ] [13:29:21.314]   → 2710 archivos extraídos...
[INFO ] [13:29:21.332]   → 2720 archivos extraídos...
[INFO ] [13:29:21.356]   → 2730 archivos extraídos...
[INFO ] [13:29:21.377]   → 2740 archivos extraídos...
[INFO ] [13:29:21.398]   → 2750 archivos extraídos...
[INFO ] [13:29:21.421]   → 2760 archivos extraídos...
[INFO ] [13:29:21.443]   → 2770 archivos extraídos...
[INFO ] [13:29:21.482]   → 2780 archivos extraídos...
[INFO ] [13:29:21.501]   → 2790 archivos extraídos...
[INFO ] [13:29:21.524]   → 2800 archivos extraídos...
[INFO ] [13:29:21.546]   → 2810 archivos extraídos...
[INFO ] [13:29:21.583]   → 2820 archivos extraídos...
[INFO ] [13:29:21.600]   → 2830 archivos extraídos...
[INFO ] [13:29:21.644]   → 2840 archivos extraídos...
[INFO ] [13:29:21.666]   → 2850 archivos extraídos...
[INFO ] [13:29:21.703]   → 2860 archivos extraídos...
[INFO ] [13:29:21.736]   → 2870 archivos extraídos...
[INFO ] [13:29:21.763]   → 2880 archivos extraídos...
[INFO ] [13:29:21.783]   → 2890 archivos extraídos...
[INFO ] [13:29:21.812]   → 2900 archivos extraídos...
[INFO ] [13:29:21.832]   → 2910 archivos extraídos...
[INFO ] [13:29:21.859]   → 2920 archivos extraídos...
